Comunidad autónoma de residencia	Concepto turístico	Tipo de dato	Periodo	Total
18 Ceuta	Viajes	Acumulado en lo que va de año	2019T2	169.078
18 Ceuta	Viajes	Acumulado en lo que va de año	2019T1	68.819
18 Ceuta	Viajes	Acumulado en lo que va de año	2018T4	285.606
18 Ceuta	Viajes	Acumulado en lo que va de año	2018T3	210.046
18 Ceuta	Viajes	Acumulado en lo que va de año	2018T2	120.030
18 Ceuta	Viajes	Acumulado en lo que va de año	2018T1	53.998
18 Ceuta	Viajes	Acumulado en lo que va de año	2017T4	307.507
18 Ceuta	Viajes	Acumulado en lo que va de año	2017T3	207.640
18 Ceuta	Viajes	Acumulado en lo que va de año	2017T2	123.194
18 Ceuta	Viajes	Acumulado en lo que va de año	2017T1	61.299
18 Ceuta	Viajes	Acumulado en lo que va de año	2016T4	345.108
18 Ceuta	Viajes	Acumulado en lo que va de año	2016T3	263.796
18 Ceuta	Viajes	Acumulado en lo que va de año	2016T2	167.505
18 Ceuta	Viajes	Acumulado en lo que va de año	2016T1	85.285
18 Ceuta	Viajes	Acumulado en lo que va de año	2015T4	316.345
18 Ceuta	Viajes	Acumulado en lo que va de año	2015T3	230.764
18 Ceuta	Viajes	Acumulado en lo que va de año	2015T2	134.889
18 Ceuta	Viajes	Acumulado en lo que va de año	2015T1	61.161
18 Ceuta	Viajes	Distribución porcentual del acumulado	2021T2	0,1
18 Ceuta	Viajes	Distribución porcentual del acumulado	2021T1	0,1
18 Ceuta	Viajes	Distribución porcentual del acumulado	2020T4	0,1
18 Ceuta	Viajes	Distribución porcentual del acumulado	2020T3	0,1
18 Ceuta	Viajes	Distribución porcentual del acumulado	2020T2	0,1
18 Ceuta	Viajes	Distribución porcentual del acumulado	2020T1	0,1
18 Ceuta	Viajes	Distribución porcentual del acumulado	2019T4	0,2
18 Ceuta	Viajes	Distribución porcentual del acumulado	2019T3	0,2
18 Ceuta	Viajes	Distribución porcentual del acumulado	2019T2	0,2
18 Ceuta	Viajes	Distribución porcentual del acumulado	2019T1	0,2
18 Ceuta	Viajes	Distribución porcentual del acumulado	2018T4	0,1
18 Ceuta	Viajes	Distribución porcentual del acumulado	2018T3	0,1
